Test_id,Test_Name,Test_Link,Remote_Testing,Adaptive_Testing,Test_Types,Description,Job_Levels,Languages,Assessment_Length,Assessment_Minutes,short_test,combined_text
4188,Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,YES,NO,Simulations,Simulated data entry test that measures the ability to process receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8,8.0,long test,"Accounts Receivable Simulation (New) - Simulated data entry test that measures the ability to process receivables and invoices. | Test Type: Simulations | Target Job Levels: Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 8 | Duration in Minutes: 8.0 | Supports Remote Testing | long test | Languages: English (USA),"
4168,ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10,10.0,long test,"ADO.NET (New) - Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 10 | Duration in Minutes: 10.0 | Supports Remote Testing | long test | Languages: English (USA),"
4019,Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 17,17.0,long test,"Adobe Experience Manager (New) - Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 17 | Duration in Minutes: 17.0 | Supports Remote Testing | long test | Languages: English (USA),"
3778,Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,YES,YES,Knowledge & Skills,"The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 20,20.0,long test,"Adobe Photoshop CC - The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 20 | Duration in Minutes: 20.0 | Supports Remote Testing | long test | Supports Adaptive Testing | Languages: English (USA),"
4069,Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10,10.0,long test,"Aeronautical Engineering (New) - Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion. | Test Type: Knowledge & Skills | Target Job Levels: Graduate, Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 10 | Duration in Minutes: 10.0 | Supports Remote Testing | long test | Languages: English (USA),"
4004,Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics.","Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 10,10.0,long test,"Aerospace Engineering (New) - Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics. | Test Type: Knowledge & Skills | Target Job Levels: Graduate, Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 10 | Duration in Minutes: 10.0 | Supports Remote Testing | long test | Languages: English (USA),"
4223,Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development.","Graduate,","English (USA),",Approximate Completion Time in minutes = 7 minutes,7.0,long test,"Agile Software Development - Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development. | Test Type: Knowledge & Skills | Target Job Levels: Graduate, | Duration: Approximate Completion Time in minutes = 7 minutes | Duration in Minutes: 7.0 | Supports Remote Testing | long test | Languages: English (USA),"
4159,Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 13,13.0,long test,"Agile Testing (New) - Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 13 | Duration in Minutes: 13.0 | Supports Remote Testing | long test | Languages: English (USA),"
4311,AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,YES,NO,Personality & Behaviour,The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work.,"General Population,","English (USA),",Approximate Completion Time in minutes = 16,16.0,long test,"AI Skills - The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work. | Test Type: Personality & Behaviour | Target Job Levels: General Population, | Duration: Approximate Completion Time in minutes = 16 | Duration in Minutes: 16.0 | Supports Remote Testing | long test | Languages: English (USA),"
4028,Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 6,6.0,long test,"Amazon Web Services (AWS) Development (New) - Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 6 | Duration in Minutes: 6.0 | Supports Remote Testing | long test | Languages: English (USA),"
4160,Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 7,7.0,long test,"Android Development (New) - Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 7 | Duration in Minutes: 7.0 | Supports Remote Testing | long test | Languages: English (USA),"
4153,Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 11,11.0,long test,"Angular 6 (New) - Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 11 | Duration in Minutes: 11.0 | Supports Remote Testing | long test | Languages: English (USA),"
4021,AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9,9.0,long test,"AngularJS (New) - Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 9 | Duration in Minutes: 9.0 | Supports Remote Testing | long test | Languages: English (USA),"
4030,Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 7,7.0,long test,"Apache Hadoop (New) - Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 7 | Duration in Minutes: 7.0 | Supports Remote Testing | long test | Languages: English (USA),"
4011,Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 9,9.0,long test,"Apache Hadoop Extensions (New) - Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 9 | Duration in Minutes: 9.0 | Supports Remote Testing | long test | Languages: English (USA),"
4073,Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5,5.0,long test,"Apache HBase (New) - Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 5 | Duration in Minutes: 5.0 | Supports Remote Testing | long test | Languages: English (USA),"
4075,Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 5,5.0,long test,"Apache Hive (New) - Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 5 | Duration in Minutes: 5.0 | Supports Remote Testing | long test | Languages: English (USA),"
4022,Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 6,6.0,long test,"Apache Kafka (New) - Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 6 | Duration in Minutes: 6.0 | Supports Remote Testing | long test | Languages: English (USA),"
4115,Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 6,6.0,long test,"Apache Pig (New) - Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 6 | Duration in Minutes: 6.0 | Supports Remote Testing | long test | Languages: English (USA),"
4023,Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 8,8.0,long test,"Apache Spark (New) - Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 8 | Duration in Minutes: 8.0 | Supports Remote Testing | long test | Languages: English (USA),"
4017,ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,YES,NO,Knowledge & Skills,"Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 13,13.0,long test,"ASP .NET with C# (New) - Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 13 | Duration in Minutes: 13.0 | Supports Remote Testing | long test | Languages: English (USA),"
3786,ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,YES,YES,Knowledge & Skills,"The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = 30,30.0,long test,"ASP.NET 4.5 - The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms. | Test Type: Knowledge & Skills | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = 30 | Duration in Minutes: 30.0 | Supports Remote Testing | long test | Supports Adaptive Testing | Languages: English (USA),"
4219,Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,YES,NO,Assessment Exercises,"SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.

We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.

Exercises are available across a wide range of job levels and industry contexts.

Contact SHL to find out more.","Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor,","English International, English (USA),",Approximate Completion Time in minutes = Variable,No info,short test,"Assessment and Development Center Exercises - SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform.

We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises.

Exercises are available across a wide range of job levels and industry contexts.

Contact SHL to find out more. | Test Type: Assessment Exercises | Target Job Levels: Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, | Duration: Approximate Completion Time in minutes = Variable | Duration in Minutes: No info | Supports Remote Testing | short test | Languages: English International, English (USA),"
3980,Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,YES,NO,Simulations,"A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.

 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional,","English (USA),",Approximate Completion Time in minutes = max 20,20.0,long test,"Automata - Fix (New) - A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code.

 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ | Test Type: Simulations | Target Job Levels: Mid-Professional, | Duration: Approximate Completion Time in minutes = max 20 | Duration in Minutes: 20.0 | Supports Remote Testing | long test | Languages: English (USA),"
3981,Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,YES,NO,Simulations,"A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks.","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = max 30,30.0,long test,"Automata - SQL (New) - A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks. | Test Type: Simulations | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = max 30 | Duration in Minutes: 30.0 | Supports Remote Testing | long test | Languages: English (USA),"
3984,Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/,YES,NO,Simulations,"An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. 
 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/","Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = max 45,45.0,long test,"Automata (New) - An AI-powered coding simulation assessment that evaluates candidate’s programming ability. Offers a familiar IDE environment available in over 40 different programming languages and tests candidates using real-world coding problems. 
 
Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility.
Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ | Test Type: Simulations | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = max 45 | Duration in Minutes: 45.0 | Supports Remote Testing | long test | Languages: English (USA),"
3982,Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,YES,NO,Simulations,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,"Mid-Professional, Professional Individual Contributor,","English (USA),",Approximate Completion Time in minutes = max 60,60.0,long test,"Automata Data Science (New) - A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results. | Test Type: Simulations | Target Job Levels: Mid-Professional, Professional Individual Contributor, | Duration: Approximate Completion Time in minutes = max 60 | Duration in Minutes: 60.0 | Supports Remote Testing | long test | Languages: English (USA),"
3983,Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,YES,NO,Simulations,A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results.,"Professional Individual Contributor, Mid-Professional,","English (USA),",Approximate Completion Time in minutes = max 60,60.0,long test,"Automata Data Science Pro (New) - A simulated test that measures the ability to analyze and modify data using machine learning algorithms to obtain desirable results. | Test Type: Simulations | Target Job Levels: Professional Individual Contributor, Mid-Professional, | Duration: Approximate Completion Time in minutes = max 60 | Duration in Minutes: 60.0 | Supports Remote Testing | long test | Languages: English (USA),"
